Date ,Branch,Inv. No.,Item Code,Sales Qty.,State,Status,Star rating,Tonnage,Technology
25-11-2021 00:00,CHENNAI,2103009098,RHT50UV16V,4.5,Tamil Nadu,Continue,5 Star,1.5,H&C Inv
04-01-2022 00:00,CHENNAI,2133016425,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
11-01-2022 00:00,CHENNAI,2133016635,RKM50UV16U,1,Tamil Nadu,Continue,5 Star,1.5,Inv
18-01-2022 00:00,CHENNAI,2133016833,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
19-01-2022 00:00,CHENNAI,2133016873,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
19-01-2022 00:00,CHENNAI,2133016907,RKL50UV16V,3,Tamil Nadu,Continue,3 Star,1.5,Inv
19-01-2022 00:00,CHENNAI,2133016910,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
19-01-2022 00:00,CHENNAI,2133016914,RKL50UV16V,3,Tamil Nadu,Continue,3 Star,1.5,Inv
19-01-2022 00:00,CHENNAI,2133016873,RKL71UV16T,2,Tamil Nadu,Continue,3 Star,2.2,Inv
19-01-2022 00:00,CHENNAI,2133016876,RKL71UV16T,2,Tamil Nadu,Continue,3 Star,2.2,Inv
19-01-2022 00:00,CHENNAI,2133016904,RKL71UV16T,6,Tamil Nadu,Continue,3 Star,2.2,Inv
19-01-2022 00:00,CHENNAI,2133016907,RKL71UV16T,1,Tamil Nadu,Continue,3 Star,2.2,Inv
19-01-2022 00:00,CHENNAI,2133016844,RL50UV16V3,6,Tamil Nadu,Continue,3 Star,1.5,Non Inv
19-01-2022 00:00,CHENNAI,2133016906,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
19-01-2022 00:00,CHENNAI,2133016914,RL50UV16V3,3,Tamil Nadu,Continue,3 Star,1.5,Non Inv
20-01-2022 00:00,CHENNAI,2133016992,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
20-01-2022 00:00,CHENNAI,2133016992,RKL71UV16T,2,Tamil Nadu,Continue,3 Star,2.2,Inv
27-01-2022 00:00,CHENNAI,2133017177,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
27-01-2022 00:00,CHENNAI,2133017178,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
27-01-2022 00:00,CHENNAI,2133017180,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
27-01-2022 00:00,CHENNAI,2133017156,RKL50UV16V,3,Tamil Nadu,Continue,3 Star,1.5,Inv
27-01-2022 00:00,CHENNAI,2133017177,RKL50UV16V,4,Tamil Nadu,Continue,3 Star,1.5,Inv
27-01-2022 00:00,CHENNAI,2133017178,RKL50UV16V,4,Tamil Nadu,Continue,3 Star,1.5,Inv
27-01-2022 00:00,CHENNAI,2133017179,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
27-01-2022 00:00,CHENNAI,2133017177,RKL60UV16U,1,Tamil Nadu,Continue,3 Star,1.8,Inv
27-01-2022 00:00,CHENNAI,2133017178,RKL60UV16U,1,Tamil Nadu,Continue,3 Star,1.8,Inv
27-01-2022 00:00,CHENNAI,2133017122,RKL71UV16T,4,Tamil Nadu,Continue,3 Star,2.2,Inv
27-01-2022 00:00,CHENNAI,2133017147,RKL71UV16T,1,Tamil Nadu,Continue,3 Star,2.2,Inv
27-01-2022 00:00,CHENNAI,2133017171,RKL71UV16T,5,Tamil Nadu,Continue,3 Star,2.2,Inv
27-01-2022 00:00,CHENNAI,2133017182,RKL71UV16T,3,Tamil Nadu,Continue,3 Star,2.2,Inv
27-01-2022 00:00,CHENNAI,2133017177,RKM50UV16U,3,Tamil Nadu,Continue,5 Star,1.5,Inv
